avg_dist,avg_rating_by_driver,avg_rating_of_driver,avg_surge,city,last_trip_date,phone,signup_date,surge_pct,trips_in_first_30_days,luxury_car_user,weekday_pct
3.67,5,4.7,1.1,King's Landing,6/17/2014,iPhone,1/25/2014,15.4,4,TRUE,46.2
8.26,5,5,1,Astapor,5/5/2014,Android,1/29/2014,0,0,FALSE,50
0.77,5,4.3,1,Astapor,1/7/2014,iPhone,1/6/2014,0,3,FALSE,100
2.36,4.9,4.6,1.14,King's Landing,6/29/2014,iPhone,1/10/2014,20,9,TRUE,80
3.13,4.9,4.4,1.19,Winterfell,3/15/2014,Android,1/27/2014,11.8,14,FALSE,82.4
10.56,5,3.5,1,Winterfell,6/6/2014,iPhone,1/9/2014,0,2,TRUE,100
3.95,4,,1,Astapor,1/25/2014,Android,1/24/2014,0,1,FALSE,100
2.04,5,5,1,Winterfell,1/29/2014,iPhone,1/28/2014,0,2,FALSE,100
4.36,5,4.5,1,Winterfell,2/1/2014,Android,1/21/2014,0,2,FALSE,100
2.37,5,,1,Winterfell,1/5/2014,Android,1/3/2014,0,1,FALSE,0
4.28,4.9,5,1,Winterfell,5/30/2014,iPhone,1/13/2014,0,1,TRUE,100
3.81,5,4,1,Winterfell,1/10/2014,iPhone,1/6/2014,0,3,FALSE,100
20.29,5,,1,Winterfell,3/12/2014,iPhone,1/15/2014,0,1,FALSE,100
3.04,5,4,1.38,King's Landing,6/8/2014,iPhone,1/29/2014,50,0,FALSE,50
26.01,5,,1,Astapor,1/28/2014,Android,1/27/2014,0,1,FALSE,100
13.2,5,,1,Winterfell,1/16/2014,Android,1/15/2014,0,1,TRUE,100
10.86,3,5,1,King's Landing,6/28/2014,Android,1/11/2014,0,1,TRUE,50
2.38,4.8,3.9,1,King's Landing,7/1/2014,iPhone,1/12/2014,0,0,TRUE,95.2
6.83,4.8,4.6,1.21,King's Landing,6/24/2014,iPhone,1/28/2014,30.8,6,TRUE,80.8
12.08,5,5,1.17,King's Landing,6/3/2014,iPhone,1/2/2014,33.3,0,FALSE,66.7
